Channel URL,Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated
,,,,,,@achuranjohcoletteenduking1686,En vrai 💃💃💃💃je danses depuis Dubai,2023-02-17T20:00:05Z,2023-02-17T20:00:05Z
,,,,,,@limposantemambe1749,"Suis trop fan de toi,félicitations pour le bon boulot que tu fais pour nous tes frères,depuis le Congo 🇨🇩🇨🇩🇨🇩🇨🇩<br>c&#39;est l&#39;Afrique qui gagne",2023-02-17T10:16:04Z,2023-02-17T10:16:04Z
,,,,,,@rohanyoandje9003,you are the best papa,2023-02-17T03:45:45Z,2023-02-17T03:45:45Z
,,,,,,@awazimargaret2202,Mille fois mieux que &quot;a chacun sa chance&quot;,2023-02-16T22:47:22Z,2023-02-16T22:47:22Z
,,,,,,@cheforelvira2927,You&#39;re doing well,2023-02-16T16:16:56Z,2023-02-16T16:16:56Z
,,,,,,@ngusumsmith1951,Much love Ko-C Baba🫡,2023-02-16T10:57:01Z,2023-02-16T10:57:01Z
,,,,,,@sorellemengue5535,Le rythme est juste bon🔥🔥🔥Big up Ko-c👌,2023-02-15T21:46:42Z,2023-02-15T21:46:42Z
,,,,,,@hansengo5010,Great job,2023-02-15T20:34:34Z,2023-02-15T20:34:34Z
,,,,,,@ulrichomgba1943,🕺🕺🕺🕺,2023-02-15T13:55:31Z,2023-02-15T13:55:31Z
,,,,,,@charlesnana2599,The best of your generation!,2023-02-15T12:12:13Z,2023-02-15T12:12:13Z
,,,,,,@emeraudeetoile4162,Le son est pur...,2023-02-15T05:23:36Z,2023-02-15T05:23:36Z
,,,,,,@etiennebrunonkondjock7900,Sur cette terre j’suis un combattant maintenant sur cette terre j’suis comme un lion 🦁,2023-02-15T00:15:52Z,2023-02-15T00:15:52Z
,,,,,,@willydjoko,Put Tenor or Happy d’efoulan on the remix bro. 🔥 🔥 🔥,2023-02-14T05:51:21Z,2023-02-14T05:51:21Z
,,,,,,@ayeahbenitoafumbom764,Grand you know mokso no be lie❌️❌️❌️❌️❌️❌️👌👌👌,2023-02-13T13:57:28Z,2023-02-13T13:57:28Z
,,,,,,@olivierntep3072,Okay,2023-02-13T12:26:13Z,2023-02-13T12:26:13Z
,,,,,,@kristydonovan6254,I liiiiiiiiiiike it,2023-02-12T22:13:58Z,2023-02-12T22:13:58Z
,,,,,,@dohglernabah1836,🔥👌,2023-02-12T22:12:04Z,2023-02-12T22:12:04Z
,,,,,,@laverite1962,@@kouemojeff5540 <br>Warr mon frère tu as fini avec 🤣🤣🤣🤣🤣🤣🤣,2023-02-12T19:58:30Z,2023-02-12T19:58:30Z
,,,,,,@kouemojeff5540,@@laverite1962 <br>On bande ses yeux et on n&#39;y voit rien pour devenir ivoirien,2023-02-12T19:51:21Z,2024-06-17T23:28:23Z
,,,,,,@rarlzofficial,Your place Dey grand 🙌🙌🙌🇨🇲🇨🇲 great job and I’m proud to be a Cameroonian 🇨🇲🇨🇲🇨🇲🇨🇲🙌,2023-02-12T18:33:23Z,2023-02-12T18:33:23Z
,,,,,,@binsilaedithsiben7138,Papa abeg we di wait you again for Texas 🎉 the end for this song di cure depression aswear ❤ abeg make some man helep me press stop norrrr😂😂 on fouette jusqu’à ça gonfle comment norrr le père 😂😂😂😂,2023-02-12T16:58:24Z,2023-02-12T16:58:24Z
,,,,,,@foghamiles8191,Ya place deh sir 🔥,2023-02-12T13:52:41Z,2023-02-12T13:52:41Z
,,,,,,@josephwill-smitkevinzuezue6232,You&#39;re the best KO-C.... I wanna sing with you..... I&#39;m waiting your response.....,2023-02-12T12:16:08Z,2023-02-12T12:16:08Z
,,,,,,@samirangader3317,C&#39;est la guerre ce son 👏👏👏👏😍,2023-02-12T09:48:04Z,2023-02-12T09:48:04Z
,,,,,,@aimeedama5516,comment je fais pour liker autant de fois je veux ? 🤣🥰🥰🥰🥰🥰🥰🥰,2023-02-12T06:44:52Z,2023-02-12T06:44:52Z
,,,,,,@angelamessina7187,We love what you&#39;re doing !!!!!,2023-02-12T06:43:32Z,2023-02-12T06:43:32Z
,,,,,,@kabakaba4760,KO.C you the GOAT!!!,2023-02-12T04:53:55Z,2023-02-12T04:53:55Z
,,,,,,@salamprince8405,U are the best far go Soso💪💪🔥,2023-02-12T04:15:21Z,2023-02-12T04:15:21Z
,,,,,,@ngwadivine7036,"This is a banger as usual. Am just angry the song is not on Snapchat yet, I wanna use it on my videos",2023-02-12T02:18:52Z,2023-02-12T02:18:52Z
,,,,,,@hyacinthekomdji579,K.o c you have a supernatural talent 🙌💚❤️💛,2023-02-11T23:47:26Z,2023-02-11T23:47:26Z
,,,,,,@patrickbotekoudongue5836,Tu dois atteindre le million tu as encore une fois de plus prouver! Le song est propre c’est lourd! Je valide ❤️❤️❤️❤️❤️❤️❤️❤️❤️ maguida gui me small😭😭😭😭😭😭❤️❤️❤️,2023-02-11T22:43:11Z,2023-02-11T22:43:11Z
,,,,,,@rickabateefoua,C&#39;est la mort du song Big le feu,2023-02-11T22:10:09Z,2023-02-11T22:10:09Z
,,,,,,@graffechawa1586,Love ....Big UP ❤️❤️❤️,2023-02-11T19:46:27Z,2023-02-11T19:46:27Z
,,,,,,@LiaIrineasanji,God bless and inspire you more brother,2023-02-11T19:16:12Z,2023-02-11T19:16:12Z
,,,,,,@ennispatrick2429,Papa KO_C 🔥🔥🔥🔥🇨🇲❤️,2023-02-11T18:06:10Z,2023-02-11T18:06:10Z
,,,,,,@jeannettenguiamogne206,C&#39;est la guèèèèèrrreeeee.🔥🔥🔥🔥🔥♥️♥️♥️,2023-02-11T16:25:00Z,2023-02-11T16:25:00Z
,,,,,,@laverite1962,On fait comment pour ne pas être Camerounais ?,2023-02-11T15:33:10Z,2023-02-11T15:33:10Z
,,,,,,@nearisdesign7762,Love,2023-02-11T15:05:03Z,2023-02-11T15:05:03Z
,,,,,,@franklein117,"​@salamprince8405 <a href=""https://www.youtube.com/watch?v=bcW315qgWe8&amp;t=249"">4:09</a>",2023-09-08T13:49:49Z,2023-09-08T13:49:48Z
,,,,,,@claudiazion8948,Non c&#39;est juste pour savoir comment on s&#39;organise pour chanson que j&#39;aime beaucoup ❤❤❤❤❤❤❤🎉,2023-09-04T16:46:08Z,2023-09-04T16:46:07Z
,,,,,,@Alice-zi5cp,​@@mikegoltaford3360e TV DC comics,2023-09-02T20:51:47Z,2024-06-17T23:28:23Z
,,,,,,@faneissaka3367,KO C🎶💕💞💓💗💖💝🌷🥰     LOVE💖💗💓💓💞💕,2023-08-30T17:25:12Z,2023-08-30T17:25:12Z
,,,,,,@KadiKadi-gg6pi,"Reponses <a href=""https://www.youtube.com/watch?v=bcW315qgWe8&amp;t=178"">2:58</a>",2023-08-26T11:50:18Z,2023-08-26T11:50:17Z
,,,,,,@StellaNjoh,❤❤❤pp,2023-08-24T18:34:28Z,2023-08-24T18:34:27Z
,,,,,,@juliefeliciobentes183,​@jeannettenguiamogne206 8doepe8r caillou cadeau❤❤❤❤❤❤😂😅😂😅,2023-08-24T16:24:05Z,2023-08-24T16:24:04Z
,,,,,,@armandaghouzan1553,​@@nearisdesign7762o,2023-08-20T17:45:06Z,2024-06-17T23:28:23Z
,,,,,,@WillianeNyabiwole,😢,2023-08-18T19:53:44Z,2023-08-18T19:53:44Z
,,,,,,@fabiolambo2396,"​😅8de 70😮f 😅😅😅😅60uûù😮0😅0for la grâce de Dieu et toi aussi <a href=""https://www.youtube.com/watch?v=bcW315qgWe8&amp;t=181"">3:01</a> 00 <a href=""https://www.youtube.com/watch?v=bcW315qgWe8&amp;t=183"">3:03</a> 1h a convulsé cette année et bonne uyeuse a 6été 76yy77yy77u7777y7776767777777777777777777777",2023-08-17T16:31:56Z,2023-08-17T16:31:56Z
,,,,,,@PrimaèlOdoungat,Jetaime?aimeedama5516 🇬🇦🇬🇦🇬🇦🥺🖕,2023-08-11T12:04:44Z,2023-08-11T12:04:44Z
,,,,,,@PrimaèlOdoungat,🇬🇦🇬🇦🇬🇦😙🥰🥰,2023-08-11T12:02:33Z,2023-08-11T12:02:33Z
,,,,,,@JojoAkias,​@@nearisdesign7762lk&#39;&#39;&#39;ll&#39;<br>.&#39;lloiiiii&#39;ko😊oii😊😊😊😊oq,2023-08-09T07:59:08Z,2024-06-17T23:28:23Z
,,,,,,@MelanieFFezeuK,😊😊😊,2023-08-06T00:26:14Z,2023-08-06T00:26:14Z
,,,,,,@ireneflorenana3139,F45o,2023-08-02T09:54:52Z,2023-08-02T09:54:52Z
